model,lr,bs,wd,env0_in_acc,env0_out_acc,env1_in_acc,env1_out_acc,env0_in_md,env0_out_md,env1_in_md,env1_out_md,env0_in_dp,env0_out_dp,env1_in_dp,env1_out_dp,env0_in_eo,env0_out_eo,env1_in_eo,env1_out_eo,env0_in_auc,env0_out_auc,env1_in_auc,env1_out_auc,epoch,loss,step,step_time
Fish,0.0001,64,0.0001,0.53364817,0.5592417062,1.0,0.5769612711,0.0751739442,0.1774063408,0.0877499878,0.117197901,0.8504928012,0.7144615385,0.8200647953,0.7496660959,0.9523255814,0.6804435484,1.0,0.7492086593,0.5634497672,0.6118139535,0.5622584709,0.5909720198,604.48642266,9.1838e-06,8000,0.5426490664
GroupDRO,5e-05,32,0.0,0.520661157,0.5023696682,1.0,0.5719960278,0.0050686598,0.0191758275,0.0877413154,0.0506556034,0.9604899912,0.9966777409,0.8200647953,0.8912079414,0.9352517986,0.987654321,1.0,0.8294979079,0.5268002741,0.5042790698,0.5711024225,0.5537541695,302.24321133,0.0061764224,8000,0.0420660405
GroupDRO,5e-05,32,0.0001,0.5123966942,0.4739336493,1.0,0.5700099305,0.0023947358,0.0557444394,0.0877462626,0.0449076295,0.986259542,0.8714666667,0.8200647953,0.9117000613,0.9230769231,0.8716845878,1.0,0.9160977758,0.5036749935,0.5034418605,0.5683592882,0.5414602157,302.24321133,5.8301e-06,8000,0.0423634672
GroupDRO,5e-05,64,0.0,0.5419126328,0.5402843602,1.0,0.5660377358,0.0674197078,0.0897267759,0.0877474546,0.0585700274,0.8607886535,0.8175872093,0.8200647953,0.8860910229,0.9284210526,0.9202614379,1.0,0.8548894731,0.5366554014,0.5629767442,0.60973294,0.5492001036,604.48642266,1.969e-07,8000,0.0766790628
GroupDRO,5e-05,64,0.0001,0.5112160567,0.5450236967,1.0,0.6007944389,0.0990539789,0.0023174882,0.0877451599,0.1134107113,0.825307464,0.9955399809,0.8200647953,0.755210024,0.9258064516,0.9365853659,1.0,0.8274915975,0.5652163638,0.5138604651,0.5631725966,0.5659023932,604.48642266,5.4244e-06,8000,0.0763748102
GroupDRO,0.0001,32,0.0,0.5230224321,0.5213270142,0.9975186104,0.5739821251,0.0069754124,0.022991538,0.0904452503,0.033524394,0.9967466023,0.9769348075,0.8143783942,0.9235975212,0.9059233449,0.9782608696,0.9957035446,0.9181989175,0.5073913454,0.5286511628,0.5623599283,0.5315586645,302.24321133,0.0277263068,8000,0.0422113857
GroupDRO,0.0001,32,0.0001,0.4982290437,0.5355450237,0.9967741935,0.5700099305,0.0244927108,0.0444331467,0.0876663327,0.041312784,0.9641319241,0.9245,0.8191839523,0.8673896499,0.8510638298,0.9765625,0.9970319173,0.9766826923,0.5297367239,0.5239069767,0.5546670886,0.5250453383,302.24321133,0.0241364608,8000,0.0423464599
GroupDRO,0.0001,64,0.0,0.5159386068,0.4881516588,1.0,0.591857001,0.0827133954,0.0955820084,0.0877474546,0.0944564641,0.8554291946,0.8084,0.8200647953,0.7853100216,0.825,0.84375,1.0,0.8232500283,0.5779724907,0.5322790698,0.6039092376,0.5566323391,604.48642266,4.359e-07,8000,0.0767512317
GroupDRO,0.0001,64,0.0001,0.4982290437,0.4834123223,0.5630272953,0.5561072493,0.000533402,0.0018816292,0.0019560754,0.0010485947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5237456574,0.5505116279,0.5342438752,0.5288626575,604.48642266,0.5221254384,8000,0.0768456216
IGA,5e-05,32,0.0,0.4976303318,0.5203473945,0.5163853029,0.0,0.0052272677,0.0033619404,0.0111851692,0.0097777247,0.9203963191,0.9355787223,0.8656328645,0.8545290134,0.9271929825,0.9526209677,0.8866160692,0.8512353786,0.5301798502,0.5190697674,0.5576527615,0.550398329,0.7266672254,0.0,0,9.8347892761
IGA,5e-05,32,0.0001,0.4976303318,0.5203473945,0.5163853029,0.0,0.0052259564,0.0033585429,0.0111851096,0.0097698569,0.9203963191,0.9355787223,0.8656328645,0.8545290134,0.9271929825,0.9526209677,0.8866160692,0.8512353786,0.5301562168,0.5191627907,0.5576383757,0.5503416561,0.7266672254,0.0,0,0.5213463306
IGA,5e-05,64,0.0,0.4834123223,0.5967741935,0.5739821251,0.0,0.0043042898,0.0094477236,0.0097056031,0.010438174,0.7876378287,0.688,0.7078901435,0.5926214197,0.9142857143,0.3515625,0.7493890005,0.5511854951,0.5221267696,0.5465116279,0.544237172,0.5446015091,0.7132893205,0.0,0,3.4640247822
IGA,5e-05,64,0.0001,0.4834123223,0.5967741935,0.5739821251,0.0,0.0043009818,0.0094623566,0.0096996129,0.0104320943,0.7876378287,0.688,0.7078901435,0.5926214197,0.9142857143,0.3515625,0.7493890005,0.5511854951,0.5220913195,0.5465116279,0.5442068862,0.5445812688,0.7132893205,0.0,0,17.59015274
IGA,0.0001,32,0.0,0.5592417062,0.4962779156,0.5124131082,0.0,0.0096203685,0.0033885837,0.0159019828,0.0145896673,0.9876093498,0.9324265029,0.9179491704,0.9332521075,0.9828767123,0.966796875,0.9430305872,0.9633430699,0.5458192518,0.5066976744,0.5611797925,0.5522968684,0.7266672254,0.0,0,3.1642506123
IGA,0.0001,32,0.0001,0.5592417062,0.4965260546,0.5124131082,0.0,0.0096179843,0.0034032464,0.0158998966,0.0145863295,0.9876093498,0.9324265029,0.9173670847,0.9332521075,0.9828767123,0.966796875,0.9430305872,0.9633430699,0.5458192518,0.5066976744,0.5611709592,0.552268532,0.7266672254,0.0,0,1.2524015903
IGA,0.0001,64,0.0,0.5023696682,0.5863523573,0.5680238332,0.0,0.007551223,0.0078583658,0.0130465329,0.0109009147,0.8629770992,0.688,0.5805791389,0.4023972603,0.8928571429,0.46875,0.6367960718,0.580195258,0.5295417484,0.5284651163,0.5462070093,0.5319067975,0.7132893205,0.0,0,17.302975893
IGA,0.0001,64,0.0001,0.5023696682,0.5863523573,0.5680238332,0.0,0.0075436234,0.0078675747,0.0130376518,0.0108924508,0.8629770992,0.688,0.5805791389,0.4023972603,0.8928571429,0.46875,0.6367960718,0.580195258,0.5294649399,0.5285581395,0.5461825283,0.5319877587,0.7132893205,0.0,0,2.581166029
IRM,5e-05,32,0.0,0.4982290437,0.4834123223,0.5630272953,0.5561072493,5.0962e-06,2.2352e-06,5.3048e-06,4.2617e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333939924,0.503627907,0.5280231767,0.5248955601,302.24321133,0.6911941503,8000,0.0447983661
IRM,5e-05,32,0.0001,0.4982290437,0.4834123223,0.5630272953,0.5561072493,2.98e-08,8.941e-07,2.384e-07,2.98e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5061978588,0.5934883721,0.5197867074,0.5029672269,302.24321133,0.6908573399,8000,0.0447528172
IRM,5e-05,64,0.0,0.4982290437,0.4834123223,0.5630272953,0.5561072493,0.0003327429,0.0001548529,0.0005885363,0.0004195571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5407794295,0.512744186,0.5542433402,0.5418609735,604.48642266,0.6838481919,8000,0.0785372462
IRM,5e-05,64,0.0001,0.4982290437,0.4834123223,0.5630272953,0.5561072493,6.67274e-05,2.6822e-06,0.0001296401,0.0001321137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5366908515,0.5126511628,0.5555627905,0.5531024321,604.48642266,0.6840764948,8000,0.078980535
IRM,0.0001,32,0.0,0.4982290437,0.4834123223,0.5630272953,0.5561072493,4.768e-07,1.3709e-06,6.258e-07,4.172e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5190485194,0.584744186,0.5292666602,0.5255351533,302.24321133,0.6908334069,8000,0.0446515417
IRM,0.0001,32,0.0001,0.4982290437,0.4834123223,0.5630272953,0.5561072493,1.192e-07,2.682e-07,2.98e-08,4.172e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5141327724,0.5180465116,0.5067385853,0.5332345607,302.24321133,0.6910491386,8000,0.0450254722
IRM,0.0001,64,0.0,0.4982290437,0.4834123223,0.5630272953,0.5561072493,5.96e-08,1.49e-07,6.258e-07,6.855e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5139377969,0.5131162791,0.5402417209,0.5474472943,604.48642266,0.6839830933,8000,0.0790374174
IRM,0.0001,64,0.0001,0.4982290437,0.4834123223,0.5630272953,0.5561072493,8.94e-08,8.94e-08,1.3113e-06,1.2219e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5026587574,0.5089302326,0.5409552033,0.5357079245,604.48642266,0.6842206044,8000,0.0791810784
MLDG,5e-05,32,0.0,0.4994096812,0.4549763033,0.9992555831,0.5700099305,0.0220364928,0.0152565241,0.0880574882,0.0850124061,0.9213982987,0.9288,0.8190779544,0.7886986301,0.9572901325,0.84375,0.9989258861,0.7307176127,0.5001536171,0.5226046512,0.5545560408,0.5663841122,302.24321133,0.0191368793,8000,0.1124982662
MLDG,5e-05,32,0.0001,0.5454545455,0.5497630332,1.0,0.5779543198,0.0942157507,0.0535673499,0.0877477229,0.1130135357,0.8125433727,0.8886666667,0.8200647953,0.7483444783,0.9505263158,0.9114583333,1.0,0.7418890185,0.5685723064,0.5406511628,0.5709868317,0.5796738884,302.24321133,9.8548e-06,8000,0.1123095388
MLDG,5e-05,64,0.0,0.5407319953,0.5260663507,1.0,0.5571002979,0.0190571845,0.0248198807,0.0877462924,0.0602406859,0.9369465649,0.946,0.8200647953,0.8761875829,0.9371428571,0.759375,1.0,0.8873574534,0.5171460308,0.5066046512,0.5559653389,0.5365823051,604.48642266,2.1008e-05,8000,0.1743731327
MLDG,5e-05,64,0.0001,0.5005903188,0.5023696682,0.9975186104,0.5372393247,0.024114877,0.0433276892,0.0877271891,0.0418227315,0.9974085541,0.8977428181,0.8219359225,0.9019115516,0.9237379162,0.9620915033,0.9985306133,0.9516286709,0.5252463782,0.5142325581,0.5497418642,0.5356391075,604.48642266,0.0962694469,8000,0.1762949538
