metric, step, value
env2_in_demographic_parity, 6501, 0.3313763737678528
env2_in_demographic_parity, 7001, 0.3313763737678528
env2_in_demographic_parity, 7501, 0.3313763737678528
env2_in_demographic_parity, 8001, 0.3313763737678528
env2_in_equalized_odds, 1, 0.0
env2_in_equalized_odds, 501, 0.5833333134651184
env2_in_equalized_odds, 1001, 1.0
env2_in_equalized_odds, 1501, 0.8571428656578064
env2_in_equalized_odds, 2001, 1.0
env2_in_equalized_odds, 2501, 1.0
env2_in_equalized_odds, 3001, 1.0
env2_in_equalized_odds, 3501, 1.0
env2_in_equalized_odds, 4001, 1.0
env2_in_equalized_odds, 4501, 1.0
env2_in_equalized_odds, 5001, 1.0
env2_in_equalized_odds, 5501, 1.0
env2_in_equalized_odds, 6001, 1.0
env2_in_equalized_odds, 6501, 1.0
env2_in_equalized_odds, 7001, 1.0
env2_in_equalized_odds, 7501, 1.0
env2_in_equalized_odds, 8001, 1.0
env2_in_auc_score, 1, 0.5084273219108582
env2_in_auc_score, 501, 0.5336278676986694
env2_in_auc_score, 1001, 0.5617802143096924
env2_in_auc_score, 1501, 0.5405135750770569
env2_in_auc_score, 2001, 0.5519463419914246
env2_in_auc_score, 2501, 0.5518842339515686
env2_in_auc_score, 3001, 0.5431482195854187
env2_in_auc_score, 3501, 0.5475809574127197
env2_in_auc_score, 4001, 0.5506787896156311
env2_in_auc_score, 4501, 0.5528870224952698
env2_in_auc_score, 5001, 0.5517447590827942
env2_in_auc_score, 5501, 0.5513383746147156
env2_in_auc_score, 6001, 0.5510289669036865
env2_in_auc_score, 6501, 0.5507813096046448
env2_in_auc_score, 7001, 0.5504916906356812
env2_in_auc_score, 7501, 0.5503705143928528
env2_in_auc_score, 8001, 0.5502529144287109
env0_out_accuracy, 1, 0.9826388955116272
env0_out_accuracy, 501, 0.9826388955116272
env0_out_accuracy, 1001, 0.9826388955116272
env0_out_accuracy, 1501, 0.9826388955116272
env0_out_accuracy, 2001, 0.9826388955116272
env0_out_accuracy, 2501, 0.9652777910232544
env0_out_accuracy, 3001, 0.9583333134651184
env0_out_accuracy, 3501, 0.9791666865348816
env0_out_accuracy, 4001, 0.9791666865348816
env0_out_accuracy, 4501, 0.9826388955116272
env0_out_accuracy, 5001, 0.9826388955116272
env0_out_accuracy, 5501, 0.9826388955116272
